45.7312497808, 4.82393218242;"{""type"": ""Point"", ""coordinates"": [4.823932182416952, 45.73124978076499]}";7013;Halle Tony Garnier;Avenue Tony Garnier;;Lyon 7 ème;13;Non;Halle Tony Garnier;45.7312497807651000;4.8239321824169500;20;OPEN;4;15;1;Vert;t;1094;2015-07-01 16:07:04;2015-07-01 16:11:00
45.7671263864, 4.89215042623;"{""type"": ""Point"", ""coordinates"": [4.892150426234922, 45.767126386426845]}";10058;métro Flachet;cours Emile Zola;;VILLEURBANNE;58;Non;métro A;45.7671263864269000;4.8921504262349200;24;OPEN;10;14;1;Vert;t;903;2015-07-01 16:01:52;2015-07-01 16:11:00
45.7702267691, 4.86313272236;"{""type"": ""Point"", ""coordinates"": [4.863132722360223, 45.770226769149275]}";10006;Charpennes;Place Charles Hernu;;VILLEURBANNE;6;Non;métro A B, tram, centre quartier, itinéraire cyclable;45.7702267691494000;4.8631327223602200;35;OPEN;15;17;1;Vert;t;927;2015-07-01 16:09:36;2015-07-01 16:11:00
45.7785542406, 4.80704036654;"{""type"": ""Point"", ""coordinates"": [4.807040366536835, 45.778554240645576]}";9022;Masaryk / Saint Cyr;rue Masaryk;angle rue Chinard/rue de Saint Cyr;Lyon 9 ème;22;Non;maillage;45.7785542406456000;4.8070403665368400;13;OPEN;6;7;1;Vert;t;1034;2015-07-01 16:05:33;2015-07-01 16:11:00
45.7534549142, 4.83335384396;"{""type"": ""Point"", ""coordinates"": [4.833353843957238, 45.75345491421137]}";2012;Gailleton;4 place Gailleton;;Lyon 2 ème;12;Non;;45.7534549142114000;4.8333538439572400;16;OPEN;7;9;1;Vert;t;771;2015-07-01 16:08:44;2015-07-01 16:11:00
45.7599398326, 4.83207161139;"{""type"": ""Point"", ""coordinates"": [4.832071611386376, 45.75993983258965]}";2013;Célestins;Place des Célestins;Côté nord de la place, vers l'ascenseur;Lyon 2 ème;13;Non;théâtre;45.7599398325897000;4.8320716113863800;22;OPEN;7;15;1;Vert;t;916;2015-07-01 16:09:27;2015-07-01 16:11:00
45.7617986195, 4.80306139723;"{""type"": ""Point"", ""coordinates"": [4.803061397228262, 45.76179861948478]}";5055;Apollinaire/Buyer;111 av. Barthélémy Buyer;;Lyon 5 ème;55;Oui;Centre commercial;45.7617986194848000;4.8030613972282600;22;OPEN;21;1;1;Vert;t;891;2015-07-01 16:02:44;2015-07-01 16:11:00
45.7435720691, 4.87010596914;"{""type"": ""Point"", ""coordinates"": [4.870105969141731, 45.74357206905023]}";8053;Lumière/Trouilhet;6 rue Antoine Lumière;;Lyon 8 ème;53;Non;Poste, commerces;45.7435720690503000;4.8701059691417300;16;OPEN;13;3;1;Vert;t;796;2015-07-01 16:09:23;2015-07-01 16:11:00
45.7627413113, 4.85230976496;"{""type"": ""Point"", ""coordinates"": [4.852309764957914, 45.76274131133979]}";3087;Part-Dieu / Deruelle / Garibaldi;4 Bd Eugène Deruelle;;Lyon 3 ème;87;Non;Centre Commercial, bureaux, renforcement 2-003;45.7627413113399000;4.8523097649579100;20;OPEN;6;14;1;Vert;t;1018;2015-07-01 16:09:53;2015-07-01 16:11:00
45.7797436571, 4.80456661725;"{""type"": ""Point"", ""coordinates"": [4.804566617251224, 45.77974365708449]}";9004;Gare de Vaise;rue du 24 Mars 1852;face entrée gare;Lyon 9 ème;4;Non;Gare, métro D;45.7797436570845000;4.8045666172512300;22;OPEN;13;9;1;Vert;t;1014;2015-07-01 16:06:47;2015-07-01 16:11:00
45.758362396, 4.82108664155;"{""type"": ""Point"", ""coordinates"": [4.821086641548251, 45.7583623960292]}";5050;Théâtres Romains;6 ue de l'Antiquaille;;Lyon 5 ème;50;Oui;Théâtre antique, lycée;45.7583623960293000;4.8210866415482500;12;OPEN;8;4;1;Vert;t;790;2015-07-01 16:03:56;2015-07-01 16:11:00
45.7387410923, 4.85228601094;"{""type"": ""Point"", ""coordinates"": [4.852286010941522, 45.73874109234188]}";8039;Pierre Delore;Rue Pierre Delore;;Lyon 8 ème;39;Non;Habitat;45.7387410923420000;4.8522860109415200;20;OPEN;18;2;1;Vert;t;898;2015-07-01 16:08:46;2015-07-01 16:11:00
45.7599305259, 4.84451590397;"{""type"": ""Point"", ""coordinates"": [4.844515903967149, 45.759930525883526]}";3031;Servient / Corneille;Rue Corneille;Angle Corneille / Servient;Lyon 3 ème;31;Non;tram;45.7599305258836000;4.8445159039671500;13;OPEN;4;9;1;Vert;t;857;2015-07-01 16:01:19;2015-07-01 16:11:00
45.7692120736, 4.88058491113;"{""type"": ""Point"", ""coordinates"": [4.88058491112699, 45.76921207358214]}";10011;Gratte-Ciel / Branly;rue Branly;;VILLEURBANNE;11;Non;métro A, itinéraire cyclable;45.7692120735822000;4.8805849111269900;16;OPEN;14;1;1;Vert;t;875;2015-07-01 16:07:48;2015-07-01 16:11:00
45.7783575402, 4.87960912513;"{""type"": ""Point"", ""coordinates"": [4.879609125127171, 45.778357540216334]}";10008;Salengro / Vaillant;rue Roger salengro;;VILLEURBANNE;8;Non;centre quartier, itinéraire cyclable;45.7783575402164000;4.8796091251271700;24;OPEN;24;0;3;Orange;t;1000;2015-07-01 16:07:54;2015-07-01 16:11:00
45.7365749446, 4.86991609151;"{""type"": ""Point"", ""coordinates"": [4.869916091510086, 45.73657494456226]}";8009;Place 11 novembre 1918;place du 11 novembre 1918;;Lyon 8 ème;9;Non;tram;45.7365749445623000;4.8699160915100900;20;OPEN;10;10;1;Vert;t;1093;2015-07-01 16:06:56;2015-07-01 16:11:00
